"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",116,108.94,2022,"Q2","DTaP",""
"Chinatown/Lower East Side",10002,89,"10002","24 - 35 months",452,509.82,2022,"Q2","DTaP",""
"East Village/Gramercy/Greenwich Village",10003,81,"10003","24 - 35 months",182,225.16,2022,"Q2","DTaP",""
"Financial District",10004,73,"10004","24 - 35 months",28,38.24,2022,"Q2","DTaP","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",63,50.1,2022,"Q2","DTaP",""
"Financial District",10006,99,"10006","24 - 35 months",35,21.18,2022,"Q2","DTaP","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,93,"10007","24 - 35 months",101,108.22,2022,"Q2","DTaP",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,88,"10009","24 - 35 months",282,319.23,2022,"Q2","DTaP",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",204,180.16,2022,"Q2","DTaP",""
"Chelsea",10011,85,"10011","24 - 35 months",253,295.99,2022,"Q2","DTaP",""
"Greenwich Village/SoHo",10012,81,"10012","24 - 35 months",97,119.35,2022,"Q2","DTaP",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,88,"10013","24 - 35 months",230,260.94,2022,"Q2","DTaP",""
"Hudson Square/Meatpacking District/West Village",10014,81,"10014","24 - 35 months",125,153.46,2022,"Q2","DTaP",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",319,315.91,2022,"Q2","DTaP",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",92,79.23,2022,"Q2","DTaP",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",45,42.3,2022,"Q2","DTaP","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,98,"10019, 10020","24 - 35 months",243,248.3,2022,"Q2","DTaP",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",342,329.66,2022,"Q2","DTaP",""
"East Midtown",10022,98,"10022","24 - 35 months",203,208.1,2022,"Q2","DTaP",""
"Lincoln Square",10023,75,"10023","24 - 35 months",449,598.26,2022,"Q2","DTaP",""
"Upper West Side",10024,68,"10024","24 - 35 months",385,567.12,2022,"Q2","DTaP",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,75,"10025","24 - 35 months",524,700.47,2022,"Q2","DTaP",""
"Central Harlem (South)",10026,70,"10026","24 - 35 months",276,396.46,2022,"Q2","DTaP",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,61,"10027","24 - 35 months",356,579.19,2022,"Q2","DTaP",""
"Upper East Side/Yorkville",10028,86,"10028","24 - 35 months",286,332.5,2022,"Q2","DTaP",""
"East Harlem",10029,77,"10029","24 - 35 months",558,726.81,2022,"Q2","DTaP",""
"Central Harlem (North)",10030,55,"10030","24 - 35 months",195,353.22,2022,"Q2","DTaP",""
"Hamilton Heights/West Harlem",10031,74,"10031","24 - 35 months",370,499.71,2022,"Q2","DTaP",""
"Washington Heights (South)",10032,68,"10032","24 - 35 months",339,495.1,2022,"Q2","DTaP",""
"Washington Heights (North)/Washington Heights (South)",10033,70,"10033","24 - 35 months",362,517.97,2022,"Q2","DTaP",""
"Inwood/Washington Heights (North)",10034,90,"10034","24 - 35 months",325,361.68,2022,"Q2","DTaP",""
"East Harlem",10035,79,"10035","24 - 35 months",293,368.67,2022,"Q2","DTaP",""
"Hell's Kitchen/Midtown Manhattan",10036,78,"10036","24 - 35 months",127,162.38,2022,"Q2","DTaP",""
"Central Harlem (North)/East Harlem",10037,96,"10037","24 - 35 months",165,171.39,2022,"Q2","DTaP",""
"Chinatown/Financial District",10038,87,"10038","24 - 35 months",122,140,2022,"Q2","DTaP",""
"Central Harlem (North)/Washington Heights (South)",10039,63,"10039","24 - 35 months",211,334.43,2022,"Q2","DTaP",""
"Washington Heights (North)",10040,78,"10040","24 - 35 months",293,377.93,2022,"Q2","DTaP",""
"Roosevelt Island",10044,99,"10044","24 - 35 months",112,104.05,2022,"Q2","DTaP",""
"Lenox Hill/Upper East Side",10065,99,"10065","24 - 35 months",286,253.87,2022,"Q2","DTaP",""
"Lincoln Square",10069,99,"10069","24 - 35 months",90,57.66,2022,"Q2","DTaP",""
"Lenox Hill/Upper East Side",10075,95,"10075, 10162","24 - 35 months",181,190.75,2022,"Q2","DTaP",""
"Upper East Side/Yorkville",10128,99,"10128","24 - 35 months",438,439.96,2022,"Q2","DTaP",""
"Battery Park City",10280,50,"10280","24 - 35 months",72,143.26,2022,"Q2","DTaP",""
"Battery Park City",10282,62,"10282","24 - 35 months",82,132.62,2022,"Q2","DTaP",""
"Silver Lake/St. George",10301,80,"10301","24 - 35 months",315,394.6,2022,"Q2","DTaP",""
"Elm Park",10302,68,"10302","24 - 35 months",160,235.2,2022,"Q2","DTaP",""
"Graniteville/Mariner's Harbor/Port Ivory",10303,77,"10303","24 - 35 months",261,340.74,2022,"Q2","DTaP",""
"New Dorp/Todt Hill",10304,83,"10304","24 - 35 months",390,470.25,2022,"Q2","DTaP",""
